Rk,PER,TS%,3PAr,FTr,USG%,OWS,DWS,WS,WS/48,OBPM,DBPM,BPM,VORP
1,11.3,0.457,0,0.352,16.1,0.1,0.1,0.2,0.051,-3.3,-2,-5.3,-0.2
2,13.6,0.62,0.396,0.26,14.8,4.8,1.4,6.2,0.128,1.7,-0.3,1.4,2
3,10.1,0.682,0.364,0,22,0,0,0,-0.015,-0.9,0.2,-0.7,0
4,12.2,0.507,0.256,0.135,21.1,0,0.4,0.4,0.052,-3.8,0,-3.8,-0.2
4,12.8,0.435,0.219,0.094,21.4,0,0.1,0.1,0.084,-3.4,0.5,-2.9,0
4,12,0.53,0.267,0.149,21.1,0,0.2,0.2,0.042,-3.8,-0.2,-4.1,-0.1
5,2,0.189,0,0.133,14.3,-0.2,0,-0.2,-0.142,-6,-2.9,-8.9,-0.1
6,7,0.537,0,0.267,7.9,0,0.2,0.2,0.066,-5.6,1.6,-4,-0.1
7,21.5,0.549,0.016,0.314,25.7,7.6,3.5,11.1,0.166,2.6,-0.5,2.1,3.4
8,3.3,0.361,0,0.065,9.1,-0.1,0.2,0.2,0.046,-5.8,0.5,-5.4,-0.2
9,16.4,0.615,0.387,0.224,19.8,5.8,4.2,10,0.166,2.3,0.6,2.9,3.6
10,18.3,0.562,0.047,0.37,19.9,2,2.7,4.7,0.152,0.1,3.5,3.6,2.1
11,9.6,0.499,0.352,0.293,17.3,-0.8,1.4,0.7,0.022,-2.7,-0.1,-2.8,-0.3
12,11.5,0.452,0,0.475,15.7,0.2,0.5,0.6,0.044,-3.1,-1.4,-4.5,-0.4
13,19,0.636,0.007,0.985,13.5,1.9,1.2,3.2,0.207,1.2,1.8,3,0.9
14,10.9,0.513,0.19,0.182,19.1,-0.1,0.3,0.3,0.032,-2.8,-0.7,-3.4,-0.1
14,13.8,0.559,0.213,0.149,17.3,0.1,0.1,0.2,0.063,0,-0.5,-0.5,0.1
14,8.9,0.484,0.176,0.203,20.2,-0.2,0.3,0.1,0.012,-4.6,-0.8,-5.4,-0.2
15,8.5,0.529,0.568,0.222,16.4,0.1,0.2,0.3,0.051,-1.1,-0.6,-1.7,0
16,19,0.591,0.65,0.223,20.4,4,2.5,6.4,0.216,4.2,0.4,4.6,2.4
17,21.7,0.557,0.167,0.403,32,5.4,2.5,7.9,0.138,3.2,-1.2,1.9,2.7
17,21.2,0.547,0.13,0.431,32.5,2.8,1.9,4.7,0.127,2.4,-1,1.4,1.5
17,22.8,0.575,0.233,0.351,31,2.6,0.6,3.2,0.157,4.6,-1.7,2.9,1.2
18,7.3,0.583,0,0.737,5.3,1.2,2.1,3.3,0.107,-3.2,1.6,-1.6,0.2
19,10.8,0.471,0.446,0.208,24.7,-1.6,2.2,0.5,0.014,-2.2,-0.3,-2.4,-0.2
