Rk,PER,TS%,FTr,USG%,OWS,DWS,WS,WS/48,OBPM,DBPM,BPM,VORP
1,10.1,0.52,0.376,10.1,0.6,0.9,1.5,0.086,-2.5,0.8,-1.7,0.1
1,17.2,0.542,0.571,14.5,0.1,0.1,0.2,0.188,1.2,3.7,5,0.1
1,9.6,0.518,0.354,9.8,0.5,0.7,1.3,0.078,-2.8,0.6,-2.2,0
2,11.2,0.541,0.735,11.7,0.9,1.9,2.9,0.114,-3.1,0.9,-2.2,-0.1
3,17.4,0.553,0.433,17.3,1.6,1.1,2.7,0.134,0,-0.9,-0.9,0.3
3,14.9,0.559,0.625,10.6,0.4,0.5,0.9,0.17,-1.8,1.7,0,0.1
3,18.4,0.552,0.4,19.7,1.2,0.6,1.8,0.121,0.6,-1.8,-1.2,0.1
4,16,0.574,0.332,23.3,4.3,1,5.3,0.099,1.4,-1.6,-0.2,1.1
5,14.6,0.589,0.269,16.3,1.2,0.9,2.1,0.104,-2.7,0.1,-2.6,-0.1
6,19.1,0.62,0.492,13,0.6,0.6,1.2,0.178,-0.1,1.6,1.5,0.3
7,21.8,0.507,0.253,29.8,4,3.5,7.5,0.144,2.3,0.1,2.3,2.7
8,12.5,0.47,0.167,14.6,0.6,0.9,1.5,0.066,-2.6,-0.8,-3.5,-0.4
8,11.9,0.464,0.15,14.3,0.4,0.7,1.1,0.053,-2.9,-1,-3.8,-0.4
8,17.5,0.521,0.294,17.3,0.2,0.2,0.4,0.18,-0.8,0.2,-0.5,0
9,12.8,0.59,0.214,16.8,2.5,1.5,4.1,0.101,0.5,-0.9,-0.4,0.8
10,15.6,0.531,0.293,20.1,0.5,2.1,2.7,0.1,-1.1,2.1,1,1
11,13.2,0.516,0.277,14.3,1.3,1.8,3.1,0.072,-0.9,0.3,-0.6,0.7
12,9.1,0.446,0.75,13.9,-0.1,0.2,0.1,0.024,-6.6,0.1,-6.5,-0.2
12,9.2,0.446,0.75,14,-0.1,0.2,0.1,0.024,-6.7,0.1,-6.5,-0.2
12,0,,,0,0,0,0,0.029,-4.4,-3.9,-8.3,0
13,18.5,0.683,0.615,13.8,3.8,2.2,6,0.205,0.6,0.7,1.2,1.1
14,9.5,0.525,0.243,15.9,0.8,0.9,1.7,0.047,-1.8,-1,-2.8,-0.4
15,10.9,0.53,0.148,15.9,0.9,0.9,1.9,0.039,-1.5,-1,-2.6,-0.3
16,18.8,0.572,0.175,22.9,2.2,0.1,2.3,0.138,4.5,-3.2,1.4,0.6
17,10.8,0.518,0.483,15,0.1,1.1,1.2,0.031,-2.4,-0.1,-2.5,-0.2
18,24.4,0.561,0.329,32.4,8.1,2.5,10.7,0.172,5.8,-0.8,5,5.3
19,8.1,0.394,0.25,9.3,0,0.2,0.2,0.044,-4.1,-0.7,-4.8,-0.1
19,8,0.436,0.333,10.2,0,0,0,0.049,-4.6,0,-4.6,0
19,8.1,0.384,0.231,9.1,0,0.1,0.1,0.043,-4,-0.9,-4.9,-0.1
20,11.7,0.545,0.224,18.6,0.5,0.9,1.4,0.075,-1.6,-0.7,-2.3,-0.1
21,15.8,0.59,0.226,17.8,4.3,3.7,8,0.141,1.3,1,2.3,3
22,17,0.48,0.842,14.5,0.1,0.2,0.3,0.162,-0.7,0.5,-0.1,0
23,9.4,0.459,0.151,18.1,-0.5,1.2,0.7,0.029,-4,0.8,-3.2,-0.4
24,14,0.57,0.663,13.8,1,1.5,2.4,0.121,-1.2,-0.3,-1.5,0.1
25,16.2,0.569,0.316,22.4,3.8,2.4,6.2,0.154,1.9,-0.4,1.4,1.7
25,1.2,0.394,0.25,19.8,-0.2,0,-0.2,-0.112,-6.9,-2.2,-9.1,-0.1
25,16.8,0.574,0.318,22.5,4,2.4,6.4,0.166,2.2,-0.3,1.9,1.8
26,12.9,0.505,0.196,14.8,0,0.7,0.7,0.078,-2.5,1.4,-1.2,0.1
27,11.1,0.605,0.316,12.4,1,1.4,2.4,0.121,-3,1,-2.1,0
28,3.7,0.367,0,11.1,-0.1,0.1,0,-0.008,-6,-0.1,-6.1,-0.1
29,12.1,0.525,0.117,17,0.5,0.2,0.7,0.074,0,-1.1,-1.1,0.1
30,11.5,0.506,0.298,20,0.2,0.2,0.4,0.058,-1.8,-1,-2.8,-0.1
31,11.6,0.471,0.152,23.9,-0.1,0.9,0.7,0.024,-0.9,-1.8,-2.7,-0.3
32,14.5,0.51,0.203,22.4,0.8,0.7,1.5,0.058,-0.7,-1.6,-2.3,-0.1
33,9.8,0.486,0.267,16.8,0.4,2.8,3.2,0.07,-2.2,0.5,-1.6,0.2
34,12,0.552,0.171,16.6,1.5,2,3.5,0.097,-0.4,0.2,-0.2,0.8
35,13.5,0.488,0.205,21.2,0.3,0.4,0.6,0.078,-1.2,-0.1,-1.3,0.1
