Rk,PER,TS%,FTr,USG%,,OWS,DWS,WS,WS/48,,OBPM,DBPM,BPM,VORP
1,6.3,0.507,0.083,12.2,,0.1,0.6,0.6,0.053,,-3.7,0.4,-3.3,-0.2
2,2.9,0.379,0.556,9.2,,-0.1,0,-0.1,-0.022,,-7.6,-0.5,-8.1,-0.2
3,7.6,0.474,0.082,13.5,,-0.1,0.2,0.1,0.011,,-3.8,-0.5,-4.3,-0.2
4,18.5,0.591,0.361,16.4,,5.1,4,9.1,0.163,,0.7,0.4,1.1,2.1
5,17.9,0.623,0.465,15.8,,3.4,3.4,6.8,0.171,,-0.4,2.2,1.8,1.8
6,2.7,0.424,0.111,9.9,,-0.2,0,-0.2,-0.054,,-6,-1.6,-7.5,-0.3
7,8.2,0.322,0.2,25,,-0.1,0,0,-0.051,,-7.9,2.1,-5.8,0
8,22.9,0.576,0.312,26.9,,6.4,2.9,9.3,0.167,,2.4,-0.6,1.8,2.6
9,8.1,0.418,0.308,19,,-0.1,0,-0.1,-0.042,,-3.8,-3.5,-7.3,-0.2
10,7.5,0.516,0.337,24.4,,-0.4,0.4,0,0.002,,-4.2,-2.1,-6.3,-0.5
11,18.5,0.632,0.489,15.9,,4.4,3.3,7.6,0.175,,0.2,1.4,1.6,1.9
12,16.2,0.574,0.383,19.6,,0.7,0.2,1,0.111,,0.3,0.3,0.6,0.3
13,13.2,0.568,0.292,13.7,,3,2.8,5.8,0.121,,0.1,0.6,0.7,1.5
14,11.2,0.516,0.223,17.2,,0.1,0.4,0.4,0.043,,-2.4,-0.3,-2.7,-0.1
15,12.8,0.569,0.232,12.6,,0.8,1.8,2.7,0.1,,-1.6,2.4,0.8,0.9
16,4.6,0.414,0.232,12,,-0.3,0,-0.2,-0.035,,-4.5,-1.9,-6.4,-0.4
16,4.6,0.423,0.233,12.1,,-0.2,0,-0.2,-0.039,,-4.5,-1.9,-6.3,-0.3
16,4.5,0.354,0.222,11.6,,0,0,0,-0.009,,-4.6,-1.9,-6.5,0
17,-6,0,0,29.1,,-0.1,0,-0.1,-0.48,,-14,-2.3,-16.2,0
