Rk,PER,TS%,FTr,USG%,OWS,DWS,WS,WS/48,OBPM,DBPM,BPM,VORP
1,15.9,0.632,0.507,14.7,0.7,0.4,1.1,0.157,-1,1,0.1,0.2
2,13.4,0.493,0.595,15.6,0.5,0.4,1,0.064,-2.1,-0.9,-3,-0.2
3,13,0.527,0.246,22.5,1.5,0.5,2,0.042,-1.1,-1.8,-2.9,-0.5
4,15.3,0.625,0,20.3,0,0,0,0.196,-3.1,0.1,-3,0
5,11.1,0.563,0.25,12.7,0.1,0.4,0.6,0.07,-3.5,0.6,-2.9,-0.1
5,7.3,0.532,0.209,12.5,-0.1,0.3,0.2,0.038,-5.6,0.6,-5,-0.2
5,15.7,0.598,0.297,12.9,0.2,0.2,0.4,0.109,-1,0.5,-0.5,0.1
6,20.4,0.53,0.264,26.5,4.8,2.3,7.2,0.124,1.7,-0.4,1.3,2.3
7,11.5,0.474,0.132,14.8,0.9,1.6,2.5,0.072,-3,-0.3,-3.3,-0.6
8,14.7,0.599,0.243,19.3,3.4,1.9,5.4,0.126,1.1,-0.8,0.3,1.2
9,13.2,0.489,0.293,17.8,1,4.1,5.1,0.115,-2,2.4,0.4,1.2
10,13.7,0.519,0.289,14.6,0.7,2.4,3.1,0.073,-1.3,1.2,-0.1,1
11,9.3,0.392,0.444,14.2,-0.3,0.4,0.1,0.019,-4.2,0,-4.2,-0.2
11,6.3,0.342,0.526,16.1,-0.4,0.2,-0.1,-0.038,-6.9,-1,-7.9,-0.2
11,0,0,0,23,0,0,0,-0.274,-4.7,-18.2,-22.8,0
11,11.7,0.449,0.381,12.7,0.1,0.2,0.3,0.065,-2.1,1,-1.1,0
12,17.4,0.631,0.756,14.4,1.6,1.1,2.7,0.207,-1,0.8,-0.2,0.3
13,12.6,0.509,0.239,23.6,0.8,0.8,1.6,0.052,-0.5,-1.3,-1.8,0.1
14,13.9,0.539,0.222,18,0.4,0.4,0.9,0.106,0.5,0.5,1,0.3
14,13,0.587,0.36,17.6,0.1,0.1,0.2,0.109,-0.4,0.8,0.4,0.1
14,14.2,0.526,0.188,18.1,0.4,0.3,0.7,0.105,0.7,0.4,1.2,0.2
15,18.1,0.548,0.161,24,5.7,0.8,6.5,0.125,4.1,-2.1,2,2.5
16,24.8,0.56,0.344,35.6,7.5,2,9.5,0.184,6,-1.7,4.3,3.9
17,10.4,0.542,0.412,8.6,0.4,0.8,1.2,0.1,-2.3,0.9,-1.3,0.1
18,14,0.538,0.211,17.9,0.7,2.4,3.1,0.102,0.1,2,2.1,1.6
19,11.8,0.477,0.128,20.1,0.2,1.5,1.7,0.084,-2.8,0.4,-2.4,-0.1
20,14.9,0.558,0.487,16.3,2,3.5,5.5,0.108,-1.3,-0.3,-1.6,0.3
21,11,0.527,0.337,15.1,1.4,1.5,2.8,0.112,-0.7,0.1,-0.6,0.5
22,12.8,0.54,0.299,14.5,0.4,0.8,1.2,0.077,-3,1.3,-1.7,0.1
22,11.7,0.54,0.304,14.3,0.3,0.5,0.7,0.061,-3.3,1.3,-2,0
22,16.6,0.539,0.286,15,0.1,0.3,0.4,0.132,-1.8,1.4,-0.5,0.1
23,14.5,0.533,0.183,19.7,0.3,0.7,1,0.129,-1.9,0.9,-1,0.1
24,9.4,0.509,0.056,16.4,0.3,0.4,0.7,0.047,-1.7,-0.7,-2.4,-0.1
25,13.5,0.509,0.212,21.4,0.4,0.5,0.9,0.086,-1,0.3,-0.7,0.2
26,14.1,0.51,0.177,25.1,0.8,1,1.9,0.053,0.7,-1.3,-0.6,0.6
27,11.2,0.482,0.181,23.8,-0.5,0.6,0.1,0.007,-1.1,-1.6,-2.7,-0.2
28,11,0.526,0.303,17.7,0.9,1.9,2.8,0.065,-1.6,-0.1,-1.7,0.1
29,15.5,0.566,0.173,18.1,3.5,2.8,6.3,0.146,1.1,0.7,1.8,2
30,8.9,0.361,0.137,18.8,-0.3,0.3,0,-0.003,-6.7,-1.2,-7.9,-0.2
