Rk,Player,Age,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,PER,TS%,FTr,USG%,OWS,DWS,WS,WS/48,OBPM,DBPM,BPM,VORP
1,Steven Adams\adamsst01,26,60,60,27.1,4.5,7.7,0.593,0,0.1,0.333,4.5,7.6,0.594,0.594,1.9,3.2,0.589,3.4,6,9.4,2.4,0.8,1.1,1.5,2,11,20.6,0.605,0.418,17.3,3.8,2.6,6.3,0.187,1.9,1,2.9,2
2,Bam Adebayo\adebaba01,22,68,68,34.2,6.3,11.1,0.565,0,0.2,0.077,6.2,10.9,0.574,0.566,3.8,5.4,0.689,2.5,7.9,10.5,5.1,1.2,1.3,2.8,2.5,16.3,20.6,0.605,0.492,21,4.8,3.7,8.5,0.176,1.6,2,3.6,3.2
3,LaMarcus Aldridge\aldrila01,34,53,53,33.1,7.4,15,0.493,1.2,3,0.389,6.2,12,0.519,0.532,3,3.6,0.827,1.9,5.5,7.4,2.4,0.7,1.6,1.4,2.4,18.9,19.8,0.571,0.241,23.5,3.1,1.4,4.5,0.122,1.8,-0.5,1.3,1.5
4,Nickeil Alexander-Walker\alexani01,21,43,0,12,1.9,5.4,0.355,1,2.8,0.35,1,2.7,0.36,0.444,0.4,0.7,0.6,0.2,1.7,1.9,1.8,0.3,0.2,0.9,1.2,5.3,8.6,0.457,0.128,22.7,-0.6,0.4,-0.2,-0.015,-3,-1,-4,-0.3
5,Grayson Allen\allengr01,24,33,0,17.5,2.8,6,0.462,1.2,3.2,0.394,1.5,2.9,0.537,0.565,1,1.2,0.846,0.2,2,2.2,1.4,0.3,0,0.8,1.3,7.8,11.7,0.597,0.196,17.6,0.6,0.3,0.9,0.074,-0.7,-1.1,-1.8,0
6,Jarrett Allen\allenja01,21,66,60,25.9,4.2,6.5,0.648,0,0.1,0,4.2,6.5,0.656,0.648,2.4,3.7,0.636,3.1,6.4,9.5,1.4,0.6,1.3,1.1,2.3,10.9,20.5,0.663,0.572,15,4.7,2.8,7.5,0.211,1.1,1,2.2,1.8
7,Kadeem Allen\allenka01,27,10,0,11.7,1.9,4.4,0.432,0.5,1.6,0.313,1.4,2.8,0.5,0.489,0.7,1.1,0.636,0.2,0.7,0.9,2.1,0.5,0.2,0.8,0.7,5,14,0.512,0.25,20.6,0.1,0.1,0.1,0.053,0,-0.6,-0.6,0
8,Al-Farouq Aminu\aminual01,29,18,2,21.1,1.4,4.8,0.291,0.5,2,0.25,0.9,2.8,0.32,0.343,1.1,1.6,0.655,1.3,3.5,4.8,1.2,1,0.4,0.9,1.5,4.3,7.6,0.395,0.337,13.2,-0.4,0.5,0.1,0.015,-4.5,1.4,-3.1,-0.1
9,Justin Anderson\anderju01,26,5,0,8.4,1,3,0.333,0.6,2,0.3,0.4,1,0.4,0.433,0.2,0.4,0.5,0.2,1.6,1.8,1,0,0.6,0.2,0.6,2.8,11,0.441,0.133,16.8,0,0.1,0.1,0.064,-2.2,1,-1.1,0
10,Kyle Anderson\anderky01,26,62,23,19.5,2.3,4.9,0.475,0.3,1.2,0.26,2,3.7,0.544,0.507,0.8,1.1,0.662,0.9,3.4,4.3,2.3,0.8,0.5,0.9,1.5,5.7,12.6,0.53,0.236,13.4,0.8,1.5,2.2,0.089,-1.4,1.8,0.4,0.8
11,Ryan Anderson\anderry01,31,2,0,7,1,3.5,0.286,0.5,2.5,0.2,0.5,1,0.5,0.357,0,0,,0,3.5,3.5,1,0.5,0,0.5,0.5,2.5,9.5,0.357,0,23.6,0,0,0,-0.034,-4.1,0.7,-3.4,0
12,Giannis Antetokounmpo\antetgi01,25,60,60,30.7,11,19.9,0.552,1.5,4.7,0.312,9.5,15.2,0.626,0.589,6.2,9.9,0.63,2.3,11.5,13.7,5.8,1,1,3.6,3,29.6,32,0.612,0.498,37.4,6.1,4.9,11,0.286,7.7,4.2,11.8,6.5
13,Kostas Antetokounmpo\antetko01,22,3,0,1.7,0,0,,0,0,,0,0,,,0,0,,0,0.3,0.3,0.3,0,0,0,0,0,8.6,,,0,0,0,0,0.137,1.2,3.1,4.3,0
14,Thanasis Antetokounmpo\antetth01,27,18,2,5.2,1.1,2,0.528,0,0.4,0,1.1,1.6,0.655,0.528,0.4,0.8,0.467,0.6,0.4,1.1,0.5,0.3,0.1,0.6,0.7,2.5,14.2,0.528,0.417,23.8,0,0.2,0.2,0.081,-4,1.7,-2.3,0
15,Carmelo Anthony\anthoca01,35,53,53,32.6,5.8,13.5,0.427,1.5,3.9,0.38,4.3,9.6,0.446,0.482,2.3,2.7,0.84,1.2,5.1,6.3,1.5,0.8,0.5,1.8,2.9,15.3,12.2,0.52,0.201,21.5,0.2,0.9,1.1,0.03,-1.9,-1.7,-3.7,-0.7
16,OG Anunoby\anunoog01,22,65,64,30.2,4.2,8.3,0.51,1.3,3.4,0.393,2.9,5,0.59,0.59,1,1.5,0.698,1.2,4.2,5.4,1.6,1.4,0.7,1.2,2.5,10.8,13.4,0.604,0.177,14.4,2.1,3.5,5.6,0.136,-0.6,1.9,1.2,1.6
17,Ryan Arcidiacono\arcidry01,25,58,4,16,1.6,3.8,0.409,0.9,2.4,0.391,0.6,1.4,0.439,0.532,0.5,0.7,0.711,0.3,1.6,1.9,1.7,0.5,0.1,0.6,1.7,4.5,9,0.551,0.173,12.5,0.7,0.7,1.4,0.07,-2.7,-0.1,-2.8,-0.2
18,Trevor Ariza\arizatr01,34,53,21,28.2,2.7,6.1,0.438,1.5,3.9,0.372,1.2,2.2,0.556,0.557,1.2,1.4,0.838,0.6,4,4.6,1.7,1.3,0.3,1.1,2.1,8,11,0.593,0.228,11.9,1.3,1.3,2.6,0.083,-1.5,0.9,-0.5,0.6
18,Trevor Ariza\arizatr01,34,32,0,24.7,2,5.2,0.388,1.3,3.8,0.352,0.7,1.3,0.488,0.518,0.7,0.8,0.778,0.7,3.9,4.6,1.6,1.1,0.2,0.9,2,6,9.4,0.543,0.164,11.3,0.3,0.8,1.1,0.067,-1.9,1.3,-0.6,0.3
18,Trevor Ariza\arizatr01,34,21,21,33.4,3.7,7.6,0.491,1.6,4,0.4,2.1,3.5,0.595,0.597,2,2.2,0.872,0.6,4.1,4.8,2,1.6,0.4,1.3,2.3,11,12.8,0.643,0.296,12.6,1,0.5,1.5,0.101,-1,0.5,-0.5,0.3
19,D.J. Augustin\augusdj01,32,52,9,24.7,3.2,8,0.398,1.2,3.5,0.35,1.9,4.5,0.435,0.475,2.7,3,0.886,0.3,1.8,2.1,4.6,0.6,0,1.4,1.1,10.3,14,0.551,0.381,18.8,1.9,0.8,2.7,0.099,-0.3,-1.2,-1.5,0.2
20,Deandre Ayton\aytonde01,21,33,28,33,8.4,15.3,0.55,0.1,0.3,0.333,8.3,15,0.554,0.553,1.8,2.5,0.753,4,7.7,11.7,1.9,0.7,1.6,2.2,3.2,18.8,20.3,0.573,0.16,23.9,1.4,1.4,2.7,0.121,0.9,-0.4,0.5,0.7
